"","YEAR_","FIRE_NAME","ALARM_DATE","CONT_DATE","CAUSE","area_burned_km2","DATE","month"
"1188",1996,"FORK",19960627,19960628,7,0.0448683022983,1996-06-26 17:00:00,"06"
"1189",1996,"STREET",19960827,19960827,7,0.0172125062013,1996-08-26 17:00:00,"08"
"1190",1974,"BAKER",19740920,0,14,2.90259877316,1974-09-19 17:00:00,"09"
"1191",1974,"BRENTWOOD",19740620,0,14,1.51768597887,1974-06-19 17:00:00,"06"
"1192",1974,"CRABTREE",19740615,0,14,1.76852395757,1974-06-14 17:00:00,"06"
"1193",1974,"DEL PUERTO CANYON",19740824,0,14,2.39506387354,1974-08-23 17:00:00,"08"
"1194",1974,"HORSESHOE BEND",19740707,0,14,2.33353209348,1974-07-06 17:00:00,"07"
"1195",1974,"KANAKA",19740929,0,14,7.61028821409,1974-09-28 17:00:00,"09"
"1196",1974,"LIGHTNING #2",19741002,0,14,3.29334985686,1974-10-01 17:00:00,"10"
"1197",1992," ",19920000,0,1,0.33152376317,NA,"00"
"1198",1992," ",19920000,0,1,0.129681557353,NA,"00"
"1199",1981,"FRIANT",19810613,0,14,4.3677610302,1981-06-12 17:00:00,"06"
"1200",1981,"GILL",19810614,0,7,2.90145910531,1981-06-13 17:00:00,"06"
"1201",1981,"OAT CREEK",19810709,0,2,2.39818330603,1981-07-08 17:00:00,"07"
"1202",1981,"RABBIT HILL",19810806,0,14,3.3228518341,1981-08-05 17:00:00,"08"
"1203",1981,"SWATHER",19810504,0,14,3.57990469226,1981-05-03 17:00:00,"05"
"1204",1981,"YOSEMITE LAKES",19810704,0,14,1.84155938615,1981-07-03 17:00:00,"07"
"1205",1956," ",19560000,0,14,0.646308277133,NA,"00"
"1206",1998,"GRAPEVINE",19980720,0,10,1.96533545405,1998-07-19 17:00:00,"07"
"1207",1998,"BRECKENRIDGE",19980902,0,1,7.76451447905,1998-09-01 17:00:00,"09"
"1208",1998,"STEVENSON",19981020,0,14,2.7564874256,1998-10-19 17:00:00,"10"
"1209",1998,"580 #6",19981340,0,14,4.05036255679,NA,"13"
"1210",1987,"CHAWANAKEE",19870622,19870626,9,6.01770705977,1987-06-21 17:00:00,"06"
"1211",1987," ",19870831,19870902,1,0.795948371959,1987-08-30 17:00:00,"08"
"1212",1987," ",19870830,19870901,1,0.0476975978232,1987-08-29 17:00:00,"08"
"1213",1987," ",19870901,19870902,1,0.44225525429,1987-08-31 17:00:00,"09"
"1214",1987,"BRILEBURG",19870000,0,14,1.4913229031,NA,"00"
"1215",1987,"MERCED FALLS",19870000,0,14,6.97098678451,NA,"00"
"1216",1987,"PIERCE",19870829,19870905,1,2.77385769525,1987-08-28 17:00:00,"08"
"1217",1985,"BUMB",19850526,0,2,4.5460014385,1985-05-25 17:00:00,"05"
"1218",1985,"BACKBONE",19850610,0,2,0.980915348297,1985-06-09 17:00:00,"06"
"1219",1986," ",19860804,19860804,7,0.0726731841919,1986-08-03 17:00:00,"08"
"1220",1986," ",19860711,19860711,2,0.435372577164,1986-07-10 17:00:00,"07"
"1221",1986,"DEER",19860909,19860920,3,50.2203729491,1986-09-08 17:00:00,"09"
"1222",1990,"STORMY",19900805,19900831,1,92.6026270535,1990-08-04 17:00:00,"08"
"1223",1994,"CANYON",19940716,19940716,9,0.113443358089,1994-07-15 17:00:00,"07"
"1224",1994,"ADELAIDE",19940816,19940816,7,0.067842081743,1994-08-15 17:00:00,"08"
"1225",1994,"JAMES",19940604,19940607,4,1.63165976321,1994-06-03 17:00:00,"06"
"1226",1996,"LEANING",19960000,0,9,0.0618245853753,NA,"00"
"1227",1996,"TILTILL",19960000,0,9,0.104444419658,NA,"00"
"1228",1971," ",19710000,0,1,0.045254559595,NA,"00"
"1229",1971," ",19710000,0,1,0.100344489181,NA,"00"
"1230",1971," ",19710000,0,1,0.0442526765209,NA,"00"
"1231",1972,"BLUE JAY",19720923,0,14,0.680686322861,1972-09-22 17:00:00,"09"
"1232",1996,"COW #1",19960706,19960706,7,1.54869053778,1996-07-05 17:00:00,"07"
"1233",1996,"OAK FLAT",19961010,19961017,7,2.78833235287,1996-10-09 17:00:00,"10"
"1234",1996,"CANYON",19960604,19960605,9,13.5017917652,1996-06-03 17:00:00,"06"
"1235",1954,"ROSASCO ESCAPE",19540907,0,14,1.76064038953,1954-09-06 17:00:00,"09"
"1236",1961,"BLOSS",19610925,0,14,1.02484807401,1961-09-24 16:00:00,"09"
"1237",1961,"BOLLINGER RIDGE",19610712,0,14,133.004243098,1961-07-11 17:00:00,"07"
"1238",1957," ",19570000,0,9,0.252641788148,NA,"00"
"1239",1957," ",19570000,0,9,0.266386266228,NA,"00"
"1240",1969,"AVENAL CANYON",19690730,0,2,3.97901063535,1969-07-29 17:00:00,"07"
"1241",1988," ",19880000,0,1,0.0406367747351,NA,"00"
"1242",1988," ",19880000,0,1,0.0382111745653,NA,"00"
"1243",1991,"BLUE MOUNTAIN",19910922,0,14,9.30485795822,1991-09-21 17:00:00,"09"
"1244",1991," ",19910000,0,1,0.0300428667625,NA,"00"
"1245",1997,"SCHOOL",19970812,0,14,1.56606664798,1997-08-11 17:00:00,"08"
"1246",1997,"FORESTA #1",19970000,0,9,0.132524945913,NA,"00"
"1247",1997,"GROVE",19970519,0,1,5.66680772902,1997-05-18 17:00:00,"05"
"1248",1994,"CHEVRON",19940530,0,1,4.98569373953,1994-05-29 17:00:00,"05"
"1249",1951,"JASPER POINT",19510715,0,14,2.93229391561,1951-07-14 17:00:00,"07"
"1250",1951,"LA PALOMA",19510809,0,14,2.15360865846,1951-08-08 17:00:00,"08"
"1251",1996,"LINDSAY",19960727,0,14,1.31849437154,1996-07-26 17:00:00,"07"
"1252",1996,"PARK",19960720,0,14,2.21803854436,1996-07-19 17:00:00,"07"
"1253",1974," ",19740525,19740526,7,1.46410625726,1974-05-24 17:00:00,"05"
